state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
57,1,Scott Central Attendance Center,2A,2-1,66.9,6,1,3.6,56.3,32.7,20.7,97,42.55,20.6,Playing up,1.667,3,0,0
59,2,Amite County High School,2A,3-0,65.8,-1,-1,1.0,8.6,41.3,0.0,79,45.21,11.3,Playing down,-1.0,0,0,3
60,3,East Webster High School,2A,3-0,65.1,25,2,6.8,15.8,34.0,9.0,46,53.76,20.2,Playing down,-0.333,1,0,2
76,4,Heidelberg High School,2A,1-1,61.7,-4,-1,0.5,42.8,43.0,17.5,56,50.09,27.5,Playing up,1.0,2,0,0
79,5,Water Valley High School,2A,2-1,60.9,-6,-1,-0.0,25.7,36.7,13.7,107,41.18,14.9,Playing up,0.667,2,0,1
85,6,Enterprise (Clarke),2A,3-0,58.9,32,4,10.5,39.2,28.7,17.0,113,40.57,16.9,Playing up,0.333,2,0,1
88,7,Clarkdale High School,2A,3-0,58.4,21,2,6.9,19.4,30.7,7.7,92,43.0,12.9,Playing down,-0.667,0,1,2
97,8,Wesson Attendance Center,2A,3-0,56.5,-7,-2,-0.3,18.9,28.3,9.3,104,41.24,12.5,Playing up,1.0,2,0,1
103,9,Baldwyn High School,2A,2-1,54.1,62,16,19.0,51.8,27.3,19.0,142,35.45,15.3,Playing up,1.0,3,0,0
107,10,Mize Attendance Center,2A,1-2,53.0,14,3,5.5,29.3,31.0,16.0,94,42.87,20.9,Playing up,0.333,2,0,1
110,11,East Marion High School,2A,2-1,52.6,27,5,10.0,11.7,36.7,15.7,114,40.57,16.9,Playing up,1.0,3,0,0
113,12,Eupora High School,2A,3-0,50.0,9,2,2.6,4.5,29.3,9.3,111,40.84,10.4,Playing down,-0.667,0,1,2
114,13,Charleston High School,2A,2-1,49.7,5,-1,1.7,17.1,28.7,14.7,95,42.82,19.0,Playing up,1.333,3,0,0
116,14,Sacred Heart,2A,3-0,49.3,2,-3,1.0,10.4,30.3,12.3,140,35.56,7.5,Playing up,1.0,2,0,0
119,15,Velma Jackson High School,2A,1-2,48.4,-23,-8,-6.7,68.9,25.3,33.0,157,31.78,22.2,Playing up,2.0,3,0,0
121,16,Kemper County High School,2A,2-1,48.2,33,6,10.5,24.8,38.7,34.0,96,42.75,22.1,Playing up,1.0,2,0,0
123,17,Perry Central High School,2A,1-2,47.5,7,-2,2.4,66.7,21.7,27.0,169,30.69,22.4,Playing up,1.333,2,1,0
133,18,Bruce High School,2A,3-0,44.2,6,-1,2.6,0.0,38.7,11.3,168,30.81,3.7,Mostly same class,0.0,1,0,2
135,19,Northside High School,2A,0-0,43.6,11,2,3.4,50.0,0.0,0.0,73,47.47,15.8,No class data,0.0,0,0,0
144,20,Lake High School,2A,1-1,40.6,0,-1,0.1,44.1,32.0,32.0,148,34.54,18.4,Playing up,0.5,1,0,1
146,21,Wilkinson County High,2A,1-1,40.2,-1,-1,-0.2,11.3,28.0,14.5,161,31.44,12.8,Playing down,-1.0,0,0,2
149,22,Pelahatchie Attendance Center,2A,1-2,37.5,20,5,3.4,50.9,15.0,19.7,191,26.42,18.6,Playing up,0.333,1,2,0
151,23,J Z George High School,2A,2-1,37.1,-44,-15,-14.6,23.0,18.3,16.0,193,26.31,15.4,Playing down,-1.0,0,0,3
156,24,Myrtle Attendance Center,2A,1-1,35.4,4,-1,-1.4,5.4,30.0,17.0,149,34.1,12.4,Playing down,-1.0,0,0,2
160,25,Hatley High School,2A,2-1,34.5,-18,-7,-6.1,23.9,20.7,20.0,213,22.45,11.2,Playing up,0.333,2,0,1
