state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
25,1,Brookhaven High School,5A,3-0,78.0,18,4,8.7,49.1,40.7,19.3,16,69.1,22.7,Playing down,-0.333,1,0,2
26,2,Natchez High School,5A,3-0,77.2,13,1,6.8,64.4,32.7,17.3,74,46.91,22.0,Playing down,-1.0,0,1,2
39,3,Leake Central High School,5A,3-0,72.3,22,6,8.7,39.6,42.7,14.7,109,41.1,16.6,Mostly same class,0.0,0,3,0
40,4,Pontotoc High School,5A,2-0,72.0,-4,-2,0.5,54.5,37.5,13.0,67,48.91,21.6,Playing down,-1.0,0,0,2
43,5,Lafayette High School,5A,3-0,71.0,6,1,4.1,21.2,60.0,16.0,52,52.05,15.3,Playing down,-0.5,1,0,1
62,6,New Hope High School,5A,1-2,64.3,5,4,1.7,82.0,27.7,32.0,34,56.87,35.5,Playing down,-0.333,1,0,2
63,7,Lanier High School,5A,3-0,64.1,-3,1,0.4,31.1,28.0,6.7,100,41.52,11.9,Playing up,0.667,2,0,1
67,8,Vicksburg High School,5A,0-3,62.9,32,9,8.1,98.6,18.7,29.3,124,38.05,29.8,Playing up,0.333,1,2,0
68,9,Caledonia High School,5A,2-1,62.7,46,10,13.4,64.0,22.7,23.0,75,46.88,28.0,Playing down,-1.0,0,0,2
70,10,Laurel High School,5A,1-2,62.6,-42,-9,-13.6,89.6,27.0,40.0,37,55.27,36.0,Playing up,1.333,3,0,0
78,11,Vancleave High School,5A,2-1,61.1,20,5,6.2,92.3,32.3,43.3,130,36.84,25.8,Mostly same class,0.0,1,0,2
86,12,Stone High School,5A,1-2,58.5,-4,0,-1.1,100.0,21.3,43.7,119,39.86,32.8,Playing up,0.667,2,0,1
91,13,Wayne County High School,5A,1-2,57.9,-49,-9,-11.8,56.8,25.7,19.7,103,41.25,21.7,Playing up,1.333,3,0,0
93,14,Sumrall High School,5A,3-0,57.4,-18,-3,-3.1,20.3,27.7,11.7,90,43.14,17.6,Playing down,-1.667,0,1,2
99,15,West Point High School,5A,0-3,55.9,-4,0,0.6,99.1,14.0,36.0,21,60.19,44.9,Playing down,-0.333,1,0,2
101,16,East Central High School,5A,0-3,55.4,3,2,3.0,96.4,12.0,28.3,147,35.08,30.6,Playing up,0.667,2,0,1
102,17,Cleveland Central High School,5A,0-0,54.8,-16,-3,-3.5,50.0,0.0,0.0,55,51.39,20.6,No class data,0.0,0,0,0
104,18,Purvis High School,5A,1-2,54.0,-20,-5,-4.3,72.5,22.3,30.3,129,36.9,24.8,Playing down,-1.667,0,1,2
120,19,North Pike Senior High School,5A,1-2,48.4,15,2,4.6,83.3,15.0,28.3,186,28.53,24.2,Playing down,-1.333,1,0,2
127,20,Holmes County Central High School,5A,1-2,45.9,-71,-13,-19.8,71.6,25.7,38.0,163,31.17,22.2,Playing up,0.333,1,1,1
137,21,Florence High School,5A,0-3,43.1,-5,-1,-1.5,88.3,12.3,32.7,162,31.4,31.1,Mostly same class,0.0,1,0,2
145,22,Provine High School,5A,0-3,40.2,27,2,6.7,97.3,2.0,31.7,232,16.89,30.1,Mostly same class,0.0,1,1,1
155,23,South Jones High School,5A,1-2,35.9,-3,-1,-2.6,45.9,24.0,32.3,187,28.33,18.7,Playing up,0.667,2,1,0
177,24,Columbus High School,5A,0-3,30.5,9,1,0.5,84.2,6.0,43.0,254,-2.81,29.0,Playing up,0.667,2,0,1
185,25,Northeast Jones High School,5A,1-2,28.5,-14,-2,-5.1,33.3,21.7,31.3,190,27.01,17.2,Mostly same class,0.0,1,1,1
