state_rank,class_rank,team,classification,record,mfpi,state_rank_change,class_rank_change,mfpi_change,sos,pf_per_game,pa_per_game,maxpreps_state_rank,maxpreps_rating,maxpreps_strength,schedule_direction,class_schedule_delta,up_games,same_class_games,down_games
4,1,Warren Central High School,6A,3-0,89.3,5,2,5.1,87.8,39.0,24.3,6,78.5,36.5,Playing up,1.0,3,0,0
11,2,Canton Public High School,6A,3-0,85.2,-3,0,-0.1,83.8,41.3,22.0,57,49.87,23.9,Playing down,-1.0,1,1,1
15,3,Terry High School,6A,2-1,83.6,-8,-2,-2.3,81.5,46.3,22.3,70,48.22,23.6,Mostly same class,0.0,1,1,1
18,4,Gautier High School,6A,2-1,81.9,7,3,4.3,93.2,36.7,29.7,42,54.54,32.4,Playing up,0.667,2,1,0
27,5,Neshoba Central High School,6A,2-1,76.5,-1,3,-1.1,76.6,35.3,29.7,31,57.33,30.0,Playing down,-1.0,1,0,2
31,6,South Panola High School,6A,0-2,75.4,1,4,1.3,95.5,17.5,21.5,19,64.95,39.5,Playing up,1.0,2,0,0
35,7,Ridgeland High School,6A,2-1,73.1,15,6,6.3,70.7,32.0,23.3,63,49.14,22.8,Playing down,-1.333,0,0,3
41,8,Lake Cormorant High,6A,3-0,71.4,-21,-2,-7.7,34.2,27.7,7.0,22,60.16,21.0,Mostly same class,0.0,1,0,1
44,9,Hattiesburg High School,6A,1-2,70.5,-17,0,-6.5,91.9,27.0,32.0,25,59.64,40.0,Playing up,0.333,2,0,1
47,10,Center Hill High School,6A,3-0,69.7,-7,2,-0.3,36.5,28.3,11.3,62,49.41,22.7,Playing up,1.0,1,0,0
49,11,Grenada High,6A,2-0,69.0,-32,-6,-11.0,18.0,39.0,7.0,32,56.97,15.4,Playing down,-1.0,0,1,1
51,12,Olive Branch High School,6A,2-1,68.8,14,4,5.9,68.5,26.3,24.3,66,48.91,27.1,Mostly same class,0.0,2,0,1
64,13,Hancock High School,6A,1-2,63.5,19,4,4.1,90.1,31.0,37.7,135,36.22,27.2,Playing down,-0.667,1,0,2
65,14,Pascagoula High School,6A,2-1,63.4,-51,-10,-18.2,32.9,24.3,10.0,53,51.46,22.7,Mostly same class,0.0,2,0,1
66,15,Pearl River Central High School,6A,3-0,63.4,-29,-4,-7.2,49.5,33.3,26.0,102,41.25,19.0,Playing down,-1.0,0,0,2
89,16,George County High School,6A,1-2,58.2,-35,-2,-8.5,75.7,30.0,34.7,117,40.27,26.1,Playing down,-1.0,0,1,2
94,17,Picayune Memorial High School,6A,1-2,56.9,14,3,5.3,95.0,17.0,38.0,33,56.96,43.5,Playing up,1.0,2,0,0
108,18,West Jones High School,6A,2-1,52.9,-53,-3,-13.0,30.6,34.3,28.7,89,43.14,18.8,Playing down,-1.0,0,0,3
112,19,Greenville High School,6A,2-1,51.4,-19,0,-4.3,28.4,22.0,10.7,165,30.99,14.5,Playing down,-2.333,0,0,3
118,20,Long Beach Senior High School,6A,2-1,48.5,-27,-2,-8.3,55.9,16.7,21.7,150,33.66,18.3,Playing down,-2.0,0,0,3
152,21,Callaway High School,6A,1-2,36.5,3,2,-1.2,59.5,14.3,25.3,192,26.37,20.9,Playing up,0.333,1,2,0
169,22,Saltillo High School,6A,0-3,32.5,-29,0,-8.5,86.5,11.7,47.0,230,18.77,27.6,Playing down,-1.667,0,0,3
173,23,Jim Hill High School,6A,1-2,31.4,-57,-2,-17.1,51.4,14.0,26.7,227,20.17,15.6,Playing down,-2.333,0,0,3
204,24,Forest Hill High School,6A,0-3,19.2,-31,0,-14.0,40.5,2.0,27.3,250,0.66,17.7,Playing down,-1.667,0,1,2
